precinct,state,locality,geo
"Lower Merion 8-3",PA,Montgomery,"42091-LOWER MERION 08-3"
"Lower Merion 8-4",PA,Montgomery,"42091-LOWER MERION 08-4"
"Lower Merion 9-1",PA,Montgomery,"42091-LOWER MERION 09-1"
"Lower Merion 9-2",PA,Montgomery,"42091-LOWER MERION 09-2"
"Lower Merion 9-3",PA,Montgomery,"42091-LOWER MERION 09-3"
"Lower Milford",PA,Lehigh,"42077-LOWER MILFORD"
"Lower Moreland 1",PA,Montgomery,"42091-LOWER MORELAND 1"
"Lower Moreland 2",PA,Montgomery,"42091-LOWER MORELAND 2"
"Lower Moreland 3",PA,Montgomery,"42091-LOWER MORELAND 3"
"Lower Moreland 4-1",PA,Montgomery,"42091-LOWER MORELAND 4-1"
"Lower Moreland 4-2",PA,Montgomery,"42091-LOWER MORELAND 4-2"
"Lower Moreland 5",PA,Montgomery,"42091-LOWER MORELAND 5"
"Lower Moreland 6",PA,Montgomery,"42091-LOWER MORELAND 6"
"LOWER PAXTON TWP--10TH PRECINCT",PA,Dauphin,"42043-LOWER PAXTON TWP 10"
"LOWER PAXTON TWP--11TH PRECINCT",PA,Dauphin,"42043-LOWER PAXTON TWP 11"
"LOWER PAXTON TWP--12TH PRECINCT",PA,Dauphin,"42043-LOWER PAXTON TWP 12"
"LOWER PAXTON TWP--13TH PRECINCT",PA,Dauphin,"42043-LOWER PAXTON TWP 13"
"LOWER PAXTON TWP--14TH PRECINCT",PA,Dauphin,"42043-LOWER PAXTON TWP 14"
"LOWER PAXTON TWP--15TH PRECINCT",PA,Dauphin,"42043-LOWER PAXTON TWP 15"
"LOWER PAXTON TWP--16TH PRECINCT",PA,Dauphin,"42043-LOWER PAXTON TWP 16"
"LOWER PAXTON TWP--17TH PRECINCT",PA,Dauphin,"42043-LOWER PAXTON TWP 17"
"LOWER PAXTON TWP--18TH PRECINCT",PA,Dauphin,"42043-LOWER PAXTON TWP 18"
"LOWER PAXTON TWP--19TH PRECINCT",PA,Dauphin,"42043-LOWER PAXTON TWP 19"
"LOWER PAXTON TWP--1ST PRECINCT",PA,Dauphin,"42043-LOWER PAXTON TWP 01"
"LOWER PAXTON TWP--20TH PRECINCT",PA,Dauphin,"42043-LOWER PAXTON TWP 20"
"LOWER PAXTON TWP--21ST PRECINCT",PA,Dauphin,"42043-LOWER PAXTON TWP 21"
"LOWER PAXTON TWP--22ND PRECINCT",PA,Dauphin,"42043-LOWER PAXTON TWP 22"
"LOWER PAXTON TWP--23RD PRECINCT",PA,Dauphin,"42043-LOWER PAXTON TWP 23"
"LOWER PAXTON TWP--24TH PRECINCT",PA,Dauphin,"42043-LOWER PAXTON TWP 24"
"LOWER PAXTON TWP--25TH PRECINCT",PA,Dauphin,"42043-LOWER PAXTON TWP 25"
"LOWER PAXTON TWP--26TH PRECINCT",PA,Dauphin,"42043-LOWER PAXTON TWP 26"
"LOWER PAXTON TWP--27TH PRECINCT",PA,Dauphin,"42043-LOWER PAXTON TWP 27"
"LOWER PAXTON TWP--2ND PRECINCT",PA,Dauphin,"42043-LOWER PAXTON TWP 02"
"LOWER PAXTON TWP--3RD PRECINCT",PA,Dauphin,"42043-LOWER PAXTON TWP 03"
"LOWER PAXTON TWP--4TH PRECINCT",PA,Dauphin,"42043-LOWER PAXTON TWP 04"
"LOWER PAXTON TWP--5TH PRECINCT",PA,Dauphin,"42043-LOWER PAXTON TWP 05"
"LOWER PAXTON TWP--6TH PRECINCT",PA,Dauphin,"42043-LOWER PAXTON TWP 06"
"LOWER PAXTON TWP--7TH PRECINCT",PA,Dauphin,"42043-LOWER PAXTON TWP 07"
"LOWER PAXTON TWP--8TH PRECINCT",PA,Dauphin,"42043-LOWER PAXTON TWP 08"
"LOWER PAXTON TWP--9TH PRECINCT",PA,Dauphin,"42043-LOWER PAXTON TWP 09"
"Lower Pottsgrove 1",PA,Montgomery,"42091-LOWER POTTSGROVE 1"
"Lower Pottsgrove 2",PA,Montgomery,"42091-LOWER POTTSGROVE 2"
"Lower Pottsgrove 3",PA,Montgomery,"42091-LOWER POTTSGROVE 3"
"Lower Pottsgrove 4",PA,Montgomery,"42091-LOWER POTTSGROVE 4"
"Lower Providence 1-1",PA,Montgomery,"42091-LOWER PROVIDENCE 1-1"
"Lower Providence 1-2",PA,Montgomery,"42091-LOWER PROVIDENCE 1-2"
"Lower Providence 2-1",PA,Montgomery,"42091-LOWER PROVIDENCE 2-1"
"Lower Providence 2-2",PA,Montgomery,"42091-LOWER PROVIDENCE 2-2"
"Lower Providence 2-3",PA,Montgomery,"42091-LOWER PROVIDENCE 2-3"
"Lower Providence 2-4",PA,Montgomery,"42091-LOWER PROVIDENCE 2-4"
"Lower Providence 3-1",PA,Montgomery,"42091-LOWER PROVIDENCE 3-1"
"Lower Providence 3-2",PA,Montgomery,"42091-LOWER PROVIDENCE 3-2"
"Lower Providence 3-3",PA,Montgomery,"42091-LOWER PROVIDENCE 3-3"
"Lower Providence 3-4",PA,Montgomery,"42091-LOWER PROVIDENCE 3-4"
"Lower Salford 1",PA,Montgomery,"42091-LOWER SALFORD 1"
"Lower Salford 2",PA,Montgomery,"42091-LOWER SALFORD 2"
"Lower Salford 3",PA,Montgomery,"42091-LOWER SALFORD 3"
"Lower Salford 4",PA,Montgomery,"42091-LOWER SALFORD 4"
"Lower Salford 5",PA,Montgomery,"42091-LOWER SALFORD 5"
"Lower Salford 6",PA,Montgomery,"42091-LOWER SALFORD 6"
"LOWER SWATARA TWP--1ST PRECINCT",PA,Dauphin,"42043-LOWER SWATARA TWP 1"
"LOWER SWATARA TWP--2ND PRECINCT",PA,Dauphin,"42043-LOWER SWATARA TWP 2"
"LOWER SWATARA TWP--3RD PRECINCT",PA,Dauphin,"42043-LOWER SWATARA TWP 3"
"LOWER SWATARA TWP--4TH PRECINCT",PA,Dauphin,"42043-LOWER SWATARA TWP 4"
"Lower Yoder Township No. 2 Voting Precinct",PA,Cambria,"42021-LOWER YODER TWP 1"
"Lower Yoder Township No.1 Voting Precinct",PA,Cambria,"42021-LOWER YODER TWP 2"
Lowhill,PA,Lehigh,42077-LOWHILL
"LYKENS BOROUGH--1ST WARD",PA,Dauphin,"42043-LYKENS BORO 1"
"LYKENS BOROUGH--2ND WARD",PA,Dauphin,"42043-LYKENS BORO 2"
"LYKENS TOWNSHIP",PA,Dauphin,"42043-LYKENS TWP"
"Lynn Jacksonville District",PA,Lehigh,"42077-LYNN JACKSONVILLE"
"Lynn Lynnville District",PA,Lehigh,"42077-LYNN LYNNVILLE"
"Lynn New Tripoli District",PA,Lehigh,"42077-LYNN NEW TRIPOLI"
Macungie,PA,Lehigh,42077-MACUNGIE
"Marianna Voting Precinct",PA,Washington,42125-MARIANNA
MARION,PA,Centre,"42027-MARION TWP"
Marlborough,PA,Montgomery,42091-MARLBORO
"Mcdonald Voting Precinct",PA,Washington,42125-MCDONALD
"MIDDLE PAXTON TWP--1ST PRECINCT",PA,Dauphin,"42043-MIDDLE PAXTON TWP 1"
"MIDDLE PAXTON TWP--2ND PRECINCT",PA,Dauphin,"42043-MIDDLE PAXTON TWP 2"
"MIDDLE PAXTON TWP--3RD PRECINCT",PA,Dauphin,"42043-MIDDLE PAXTON TWP 3"
"Middle Taylor Township Voting Precinct",PA,Cambria,"42021-MIDDLE TAYLOR TWP"
"MIDDLETOWN--1ST WARD, 1ST PRECINCT",PA,Dauphin,"42043-MIDDLETOWN 1-1"
"MIDDLETOWN--1ST WARD, 2ND PRECINCT",PA,Dauphin,"42043-MIDDLETOWN 1-2"
"MIDDLETOWN--2ND WARD, 1ST PRECINCT",PA,Dauphin,"42043-MIDDLETOWN 2-1"
"MIDDLETOWN--2ND WARD, 2ND PRECINCT",PA,Dauphin,"42043-MIDDLETOWN 2-2"
"MIDDLETOWN--3RD WARD, 1ST PRECINCT",PA,Dauphin,"42043-MIDDLETOWN 3-1"
"MIDDLETOWN--3RD WARD, 2ND PRECINCT",PA,Dauphin,"42043-MIDDLETOWN 3-2"
"Midway Voting Precinct",PA,Washington,42125-MIDWAY
"MIFFLIN TOWNSHIP",PA,Dauphin,"42043-MIFFLIN TWP"
"MILES EAST",PA,Centre,"42027-MILES TWP EAST"
"MILES WEST",PA,Centre,"42027-MILES TWP WEST"
MILESBURG,PA,Centre,"42027-MILESBURG BORO"
"MILLERSBURG BOROUGH",PA,Dauphin,"42043-MILLERSBURG BORO"
MILLHEIM,PA,Centre,"42027-MILLHEIM BORO"
"Monongahela #1 Voting Precinct",PA,Greene,"42059-MONONGAHELA 1"
"Monongahela #2 Voting Precinct",PA,Greene,"42059-MONONGAHELA 2"
"Monongahela 1w Voting Precinct",PA,Washington,"42125-MONON 1"
"Monongahela 2 - 1 Voting Precinct",PA,Washington,"42125-MONON 2-1"
"Monongahela 2 - 3 Voting Precinct",PA,Washington,"42125-MONON 2-3"
"Monongahela 3 - 1 Voting Precinct",PA,Washington,"42125-MONON 3-1"
"Monongahela 3 - 2 Voting Precinct",PA,Washington,"42125-MONON 3-2"
"Montgomery 1",PA,Montgomery,"42091-MONTGOMERY 1"
"Montgomery 2",PA,Montgomery,"42091-MONTGOMERY 2"
"Montgomery 3",PA,Montgomery,"42091-MONTGOMERY 3"
"Montgomery 4",PA,Montgomery,"42091-MONTGOMERY 4"
"Montgomery 5",PA,Montgomery,"42091-MONTGOMERY 5"
"Montgomery 6",PA,Montgomery,"42091-MONTGOMERY 6"
"Montgomery 7",PA,Montgomery,"42091-MONTGOMERY 7"
"Montgomery 8",PA,Montgomery,"42091-MONTGOMERY 8"
"Morgan - Lippencott Voting Precinct",PA,Greene,"42059-MORGAN LIPPENCOTT"
"Morgan - Mather Voting Precinct",PA,Greene,"42059-MORGAN MATHER"
"Morgan Chart/tgrdn Voting Precinct",PA,Greene,"42059-MORGAN CHART/T GRDN"
"Morris Voting Precinct",PA,Greene,42059-MORRIS
"Mt Pleasant 1 Voting Precinct",PA,Washington,"42125-MT PLEASANT 1"
"Mt Pleasant 2 Voting Precinct",PA,Washington,"42125-MT PLEASANT 2"
"Mt Pleasant 3 Voting Precinct",PA,Washington,"42125-MT PLEASANT 3"
"Mt Pleasant 4 Voting Precinct",PA,Washington,"42125-MT PLEASANT 4"
"Munster Township Voting Precinct",PA,Cambria,"42021-MUNSTER TWP"
"Nanty Glo Borough - First Ward Voting Precinct",PA,Cambria,"42021-NANTY GLO BORO 1-1"
"Nanty Glo Borough - Second War Voting Precinct",PA,Cambria,"42021-NANTY GLO BORO 2-1"
"Narberth 1",PA,Montgomery,"42091-NARBERTH 1"
"Narberth 2",PA,Montgomery,"42091-NARBERTH 2"
"Narberth 3",PA,Montgomery,"42091-NARBERTH 3"
"New Eagle 1 Voting Precinct",PA,Washington,"42125-NEW EAGLE 1"
"New Eagle 2 Voting Precinct",PA,Washington,"42125-NEW EAGLE 2"
"New Hanover 1",PA,Montgomery,"42091-NEW HANOVER 1"
"New Hanover 2",PA,Montgomery,"42091-NEW HANOVER 2"
"New Hanover 3",PA,Montgomery,"42091-NEW HANOVER 3"
"Norristown 1-1",PA,Montgomery,"42091-NORRISTOWN 1-1"
"Norristown 1-2",PA,Montgomery,"42091-NORRISTOWN 1-2"
"Norristown 1-3",PA,Montgomery,"42091-NORRISTOWN 1-3"
"Norristown 2-1",PA,Montgomery,"42091-NORRISTOWN 2-1"
"Norristown 2-2",PA,Montgomery,"42091-NORRISTOWN 2-2"
"Norristown 2-3",PA,Montgomery,"42091-NORRISTOWN 2-3"
"Norristown 3-1",PA,Montgomery,"42091-NORRISTOWN 3-1"
"Norristown 3-2",PA,Montgomery,"42091-NORRISTOWN 3-2"
"Norristown 3-3",PA,Montgomery,"42091-NORRISTOWN 3-3"
"Norristown 4-1",PA,Montgomery,"42091-NORRISTOWN 4-1"
"Norristown 4-2",PA,Montgomery,"42091-NORRISTOWN 4-2"
"Norristown 4-3",PA,Montgomery,"42091-NORRISTOWN 4-3"
"North Bethlehem Voting Precinct",PA,Washington,"42125-NORTH BETHLEHEM 1"
"North Charleroi Voting Precinct",PA,Washington,"42125-NORTH CHARLEROI 1"
"North Franklin 1 Voting Precinct",PA,Washington,"42125-NORTH FRANKLIN 1"
"North Franklin 2 Voting Precinct",PA,Washington,"42125-NORTH FRANKLIN 2"
"North Franklin 3 Voting Precinct",PA,Washington,"42125-NORTH FRANKLIN 3"
"North Strabane 1 Voting Precinct",PA,Washington,"42125-NORTH STRABANE 1"
"North Strabane 2 Voting Precinct",PA,Washington,"42125-NORTH STRABANE 2"
"North Strabane 3 Voting Precinct",PA,Washington,"42125-NORTH STRABANE 3"
"North Strabane 4 Voting Precinct",PA,Washington,"42125-NORTH STRABANE 4"
"North Strabane 5 Voting Precinct",PA,Washington,"42125-NORTH STRABANE 5"
"North Strabane 6 Voting Precinct",PA,Washington,"42125-NORTH STRABANE 6"
"North Strabane 7 Voting Precinct",PA,Washington,"42125-NORTH STRABANE 7"
"North Strabane 8 Voting Precinct",PA,Washington,"42125-NORTH STRABANE 8"
"North Strabane 9 Voting Precinct",PA,Washington,"42125-NORTH STRABANE 9"
"North Wales 1",PA,Montgomery,"42091-NORTH WALES 1"
"North Wales 2",PA,Montgomery,"42091-NORTH WALES 2"
"North Wales 3",PA,Montgomery,"42091-NORTH WALES 3"
"North Whitehall 1st District",PA,Lehigh,"42077-NORTH WHITEHALL 1"
"North Whitehall 2nd District",PA,Lehigh,"42077-NORTH WHITEHALL 2"
"North Whitehall 3rd District",PA,Lehigh,"42077-NORTH WHITEHALL 3"
"North Whitehall 4th District",PA,Lehigh,"42077-NORTH WHITEHALL 4"
"North Whitehall 5th District",PA,Lehigh,"42077-NORTH WHITEHALL 5"
"North Whitehall 6th District",PA,Lehigh,"42077-NORTH WHITEHALL 6"
"Northern Cambria Borough - Cen Voting Precinct",PA,Cambria,"42021-N. CAMBRIA BORO CENTER"
"Northern Cambria Borough - Nor Voting Precinct",PA,Cambria,"42021-N. CAMBRIA BORO NORTH"
"Northern Cambria Borough - Sou Voting Precinct",PA,Cambria,"42021-N. CAMBRIA BORO SOUTH"
"Nottingham 1 Voting Precinct",PA,Washington,"42125-NOTTINGHAM 1"
"Nottingham 2 Voting Precinct",PA,Washington,"42125-NOTTINGHAM 2"
"Patton Borough - First Ward Voting Precinct",PA,Cambria,"42021-PATTON BORO 1"
"Patton Borough - Second Ward Voting Precinct",PA,Cambria,"42021-PATTON BORO 2"
"PATTON NORTH 1",PA,Centre,"42027-PATTON TWP NORTH 1"
"PATTON NORTH 2",PA,Centre,"42027-PATTON TWP NORTH 2"
"PATTON SOUTH 1",PA,Centre,"42027-PATTON TWP SOUTH 1"
"PATTON SOUTH 2",PA,Centre,"42027-PATTON TWP SOUTH 2"
"PATTON SOUTH 3",PA,Centre,"42027-PATTON TWP SOUTH 3"
"PAXTANG BOROUGH",PA,Dauphin,"42043-PAXTANG BORO"
"PENBROOK BOROUGH--1ST WARD",PA,Dauphin,"42043-PENBROOK BORO 1"
"PENBROOK BOROUGH--2ND WARD",PA,Dauphin,"42043-PENBROOK BORO 2"
"PENBROOK BOROUGH--3RD WARD",PA,Dauphin,"42043-PENBROOK BORO 3"
"PENBROOK BOROUGH--4TH WARD",PA,Dauphin,"42043-PENBROOK BORO 4"
PENN,PA,Centre,"42027-PENN TWP"
Pennsburg,PA,Montgomery,42091-PENNSBURG
"Perkiomen 1",PA,Montgomery,"42091-PERKIOMEN 1"
"Perkiomen 2",PA,Montgomery,"42091-PERKIOMEN 2"
"Perry Voting Precinct",PA,Greene,42059-PERRY
"Peters A-1 Voting Precinct",PA,Washington,"42125-PETERS A-1"
"Peters A-2 Voting Precinct",PA,Washington,"42125-PETERS A-2"
"Peters A-3 Voting Precinct",PA,Washington,"42125-PETERS A-3"
"Peters B-1 Voting Precinct",PA,Washington,"42125-PETERS B-1"
"Peters B-2 Voting Precinct",PA,Washington,"42125-PETERS B-2"
"Peters B-3 Voting Precinct",PA,Washington,"42125-PETERS B-3"
"Peters C-1 Voting Precinct",PA,Washington,"42125-PETERS C-1"
"Peters C-2 Voting Precinct",PA,Washington,"42125-PETERS C-2"
"Peters C-3 Voting Precinct",PA,Washington,"42125-PETERS C-3"
"Peters D-1 Voting Precinct",PA,Washington,"42125-PETERS D-1"
"Peters D-2 Voting Precinct",PA,Washington,"42125-PETERS D-2"
"Peters D-3 Voting Precinct",PA,Washington,"42125-PETERS D-3"
"PHILIPSBURG 1ST WARD",PA,Centre,"42027-PHILIPSBURG 1"
"PHILIPSBURG 2ND WARD",PA,Centre,"42027-PHILIPSBURG 2"
"PHILIPSBURG 3RD WARD",PA,Centre,"42027-PHILIPSBURG 3"
"PILLOW BOROUGH",PA,Dauphin,"42043-PILLOW BORO"
"Plymouth 1-1",PA,Montgomery,"42091-PLYMOUTH 1-1"
"Plymouth 1-2",PA,Montgomery,"42091-PLYMOUTH 1-2"
"Plymouth 2-1",PA,Montgomery,"42091-PLYMOUTH 2-1"
"Plymouth 2-2",PA,Montgomery,"42091-PLYMOUTH 2-2"
"Plymouth 2-3",PA,Montgomery,"42091-PLYMOUTH 2-3"
"Plymouth 3-1",PA,Montgomery,"42091-PLYMOUTH 3-1"
"Plymouth 3-2",PA,Montgomery,"42091-PLYMOUTH 3-2"
"Plymouth 3-3",PA,Montgomery,"42091-PLYMOUTH 3-3"
"Plymouth 4-1",PA,Montgomery,"42091-PLYMOUTH 4-1"
"Plymouth 4-2",PA,Montgomery,"42091-PLYMOUTH 4-2"
"PORT MATILDA",PA,Centre,"42027-PORT MATILDA BORO"
"Portage Borough - First Ward Voting Precinct",PA,Cambria,"42021-PORTAGE BORO 1"
"Portage Borough - Second Ward Voting Precinct",PA,Cambria,"42021-PORTAGE BORO 2"
"Portage Borough - Third Ward Voting Precinct",PA,Cambria,"42021-PORTAGE BORO 3"
"Portage Township - Southwest Voting Precinct",PA,Cambria,"42021-PORTAGE TWP SOUTHWEST"
"Portage Township Center Voting Precinct",PA,Cambria,"42021-PORTAGE TWP CENTER"
"POTTER NORTH",PA,Centre,"42027-POTTER TWP NORTH"
"POTTER SOUTH",PA,Centre,"42027-POTTER TWP SOUTH"
"Pottstown 1-1",PA,Montgomery,"42091-POTTSTOWN 1-1"
"Pottstown 1-2",PA,Montgomery,"42091-POTTSTOWN 1-2"
"Pottstown 2-1",PA,Montgomery,"42091-POTTSTOWN 2-1"
"Pottstown 2-2",PA,Montgomery,"42091-POTTSTOWN 2-2"
"Pottstown 3",PA,Montgomery,"42091-POTTSTOWN 3"
"Pottstown 4",PA,Montgomery,"42091-POTTSTOWN 4"
"Pottstown 5",PA,Montgomery,"42091-POTTSTOWN 5"
"Pottstown 6",PA,Montgomery,"42091-POTTSTOWN 6"
"Pottstown 7-1",PA,Montgomery,"42091-POTTSTOWN 7-1"
"Pottstown 7-2",PA,Montgomery,"42091-POTTSTOWN 7-2"
PSU,PA,Centre,"42027-PSU 1"
"Reade Township Voting Precinct",PA,Cambria,"42021-READE TWP"
"Red Hill",PA,Montgomery,"42091-RED HILL"
"REED TOWNSHIP",PA,Dauphin,"42043-REED TWP"
"Rices Landing Borough Voting Precinct",PA,Greene,"42059-RICES LANDING BORO"
"Richhill Voting Precinct",PA,Greene,42059-RICHHILL
"Richland Township No. 1 Voting Precinct",PA,Cambria,"42021-RICHLAND TWP 1"
"Richland Township No. 2 Voting Precinct",PA,Cambria,"42021-RICHLAND TWP 2"
"Richland Township No. 3 Voting Precinct",PA,Cambria,"42021-RICHLAND TWP 3"
"Richland Township No. 4 Voting Precinct",PA,Cambria,"42021-RICHLAND TWP 4"
"Richland Township No. 5 Voting Precinct",PA,Cambria,"42021-RICHLAND TWP 5"
"Richland Township No. 6 Voting Precinct",PA,Cambria,"42021-RICHLAND TWP 6"
"Richland Township No. 7 Voting Precinct",PA,Cambria,"42021-RICHLAND TWP 7"
"Richland Township No. 8 Voting Precinct",PA,Cambria,"42021-RICHLAND TWP 8"
"Richland Township No. 9 Voting Precinct",PA,Cambria,"42021-RICHLAND TWP 9"
"Robinson 1 Voting Precinct",PA,Washington,"42125-ROBINSON 1"
"Robinson 2 Voting Precinct",PA,Washington,"42125-ROBINSON 2"
"Robinson 3 Voting Precinct",PA,Washington,"42125-ROBINSON 3"
Rockledge,PA,Montgomery,42091-ROCKLEDGE
"Roscoe Voting Precinct",PA,Washington,42125-ROSCOE
"ROYALTON BOROUGH--1ST WARD",PA,Dauphin,"42043-ROYALTON BORO 1"
"ROYALTON BOROUGH--2ND WARD",PA,Dauphin,"42043-ROYALTON BORO 2"
"Royersford 1",PA,Montgomery,"42091-ROYERSFORD 1"
"Royersford 2",PA,Montgomery,"42091-ROYERSFORD 2"
"RUSH EAST",PA,Centre,"42027-RUSH TWP EAST"
"RUSH NORTH",PA,Centre,"42027-RUSH TWP NORTH"
"RUSH NORTH CENTRAL",PA,Centre,"42027-RUSH TWP NORTH CENTRAL"
"RUSH SOUTH",PA,Centre,"42027-RUSH TWP SOUTH"
"RUSH TOWNSHIP",PA,Dauphin,"42043-RUSH TWP"
"RUSH WEST",PA,Centre,"42027-RUSH TWP WEST"
Salford,PA,Montgomery,42091-SALFORD
"Salisbury 1st Ward",PA,Lehigh,"42077-SALISBURY 1"
"Salisbury 2nd Ward",PA,Lehigh,"42077-SALISBURY 2"
"Salisbury 3rd Ward 1st District",PA,Lehigh,"42077-SALISBURY 3-1"
"Salisbury 3rd Ward 2nd District",PA,Lehigh,"42077-SALISBURY 3-2"
"Salisbury 4th Ward 1st District",PA,Lehigh,"42077-SALISBURY 4-1"
"Salisbury 4th Ward 2nd District",PA,Lehigh,"42077-SALISBURY 4-2"
"Salisbury 5th Ward 1st District",PA,Lehigh,"42077-SALISBURY 5-1"
"Salisbury 5th Ward 2nd District",PA,Lehigh,"42077-SALISBURY 5-2"
"Sankertown Borough Voting Precinct",PA,Cambria,"42021-SANKERTOWN BORO"
"Scalp Level Borough Voting Precinct",PA,Cambria,"42021-SCALP LEVEL BORO"
Schwenksville,PA,Montgomery,42091-SCHWENKSVILLE
"Skippack 1",PA,Montgomery,"42091-SKIPPACK 1"
"Skippack 2",PA,Montgomery,"42091-SKIPPACK 2"
"Skippack 3",PA,Montgomery,"42091-SKIPPACK 3"
"Slatington 1st District",PA,Lehigh,"42077-SLATINGTON 1"
"Slatington 2nd District",PA,Lehigh,"42077-SLATINGTON 2"
"Slatington 3rd District",PA,Lehigh,"42077-SLATINGTON 3"
"Smith 1 Voting Precinct",PA,Washington,"42125-SMITH 1"
"Smith 2 Voting Precinct",PA,Washington,"42125-SMITH 2"
"Smith 3 Voting Precinct",PA,Washington,"42125-SMITH 3"
"Smith 4 Voting Precinct",PA,Washington,"42125-SMITH 4"
"Smith 5 Voting Precinct",PA,Washington,"42125-SMITH 5"
"Smith 6 Voting Precinct",PA,Washington,"42125-SMITH 6"
"Smith 7 Voting Precinct",PA,Washington,"42125-SMITH 7"
"SNOW SHOE",PA,Centre,"42027-SNOW SHOE BORO"
"SNOW SHOE EAST",PA,Centre,"42027-SNOW SHOE TWP EAST"
"SNOW SHOE WEST",PA,Centre,"42027-SNOW SHOE TWP WEST"
"Somerset 1 Voting Precinct",PA,Washington,"42125-SOMERSET 1"
"Somerset 2 Voting Precinct",PA,Washington,"42125-SOMERSET 2"
"Souderton 1",PA,Montgomery,"42091-SOUDERTON 1"
"Souderton 2",PA,Montgomery,"42091-SOUDERTON 2"
"Souderton 3",PA,Montgomery,"42091-SOUDERTON 3"
"South Fork Borough Voting Precinct",PA,Cambria,"42021-SOUTH FORK BORO"
"South Franklin 1 Voting Precinct",PA,Washington,"42125-SOUTH FRANKLIN 1"
"South Franklin 2 Voting Precinct",PA,Washington,"42125-SOUTH FRANKLIN 2"
"SOUTH HANOVER TWP--1ST PRECINCT",PA,Dauphin,"42043-SOUTH HANOVER TWP 1"
"SOUTH HANOVER TWP--2ND PRECINCT",PA,Dauphin,"42043-SOUTH HANOVER TWP 2"
"SOUTH HANOVER TWP--3RD PRECINCT",PA,Dauphin,"42043-SOUTH HANOVER TWP 3"
"South Strabane 1 Voting Precinct",PA,Washington,"42125-SOUTH STRABANE 1"
"South Strabane 2 Voting Precinct",PA,Washington,"42125-SOUTH STRABANE 2"
"South Strabane 3 Voting Precinct",PA,Washington,"42125-SOUTH STRABANE 3"
"South Strabane 4 Voting Precinct",PA,Washington,"42125-SOUTH STRABANE 4"
"South Strabane 5 Voting Precinct",PA,Washington,"42125-SOUTH STRABANE 5"
"South Strabane 6 Voting Precinct",PA,Washington,"42125-SOUTH STRABANE 6"
"South Whitehall 1st District",PA,Lehigh,"42077-SOUTH WHITEHALL 1"
"South Whitehall 2nd District",PA,Lehigh,"42077-SOUTH WHITEHALL 2"
"South Whitehall 3rd District",PA,Lehigh,"42077-SOUTH WHITEHALL 3"
"South Whitehall 4th District",PA,Lehigh,"42077-SOUTH WHITEHALL 4"
"South Whitehall 5th District",PA,Lehigh,"42077-SOUTH WHITEHALL 5"
"South Whitehall 6th District",PA,Lehigh,"42077-SOUTH WHITEHALL 6"
"South Whitehall 7th District",PA,Lehigh,"42077-SOUTH WHITEHALL 7"
"South Whitehall 8th District",PA,Lehigh,"42077-SOUTH WHITEHALL 8"
"Southmont Borough No. 1 Voting Precinct",PA,Cambria,"42021-SOUTHMONT BORO 1"
"Southmont Borough No. 2 Voting Precinct",PA,Cambria,"42021-SOUTHMONT BORO 2"
"Speers Voting Precinct",PA,Washington,42125-SPEERS
"SPRING EAST",PA,Centre,"42027-SPRING TWP EAST"
"SPRING NORTH",PA,Centre,"42027-SPRING TWP NORTH"
"SPRING SOUTH",PA,Centre,"42027-SPRING TWP SOUTH"
"SPRING SOUTHWEST",PA,Centre,"42027-SPRING TWP SOUTHWEST"
"SPRING WEST",PA,Centre,"42027-SPRING TWP WEST"
"Springfield 1-1",PA,Montgomery,"42091-SPRINGFIELD 1-1"
"Springfield 1-2",PA,Montgomery,"42091-SPRINGFIELD 1-2"
"Springfield 2-1",PA,Montgomery,"42091-SPRINGFIELD 2-1"
"Springfield 2-2",PA,Montgomery,"42091-SPRINGFIELD 2-2"
"Springfield 2-3",PA,Montgomery,"42091-SPRINGFIELD 2-3"
"Springfield 3-1",PA,Montgomery,"42091-SPRINGFIELD 3-1"
"Springfield 3-2",PA,Montgomery,"42091-SPRINGFIELD 3-2"
"Springfield 4-1",PA,Montgomery,"42091-SPRINGFIELD 4-1"
"Springfield 4-2",PA,Montgomery,"42091-SPRINGFIELD 4-2"
"Springfield 5-1",PA,Montgomery,"42091-SPRINGFIELD 5-1"
"Springfield 5-2",PA,Montgomery,"42091-SPRINGFIELD 5-2"
"Springfield 6-1",PA,Montgomery,"42091-SPRINGFIELD 6-1"
"Springfield 6-2",PA,Montgomery,"42091-SPRINGFIELD 6-2"
"Springfield 7-1",PA,Montgomery,"42091-SPRINGFIELD 7-1"
"Springfield 7-2",PA,Montgomery,"42091-SPRINGFIELD 7-2"
"Springhill Voting Precinct",PA,Greene,42059-SPRINGHILL
"STATE COLLEGE EAST 3",PA,Centre,"42027-STATE COLLEGE EAST 3"
"STATE COLLEGE EAST CENTRAL 2",PA,Centre,"42027-STATE COLLEGE EAST CENTRAL 2"
"STATE COLLEGE EAST CENTRAL 3",PA,Centre,"42027-STATE COLLEGE EAST CENTRAL 3"
"STATE COLLEGE NORTH",PA,Centre,"42027-STATE COLLEGE NORTH"
"STATE COLLEGE NORTHEAST",PA,Centre,"42027-STATE COLLEGE NORTHEAST"
"STATE COLLEGE NORTHWEST",PA,Centre,"42027-STATE COLLEGE NORTHWEST"
"STATE COLLEGE SOUTH 1",PA,Centre,"42027-STATE COLLEGE SOUTH 1"
"STATE COLLEGE SOUTH 2",PA,Centre,"42027-STATE COLLEGE SOUTH 2"
